frame_id,video_id,timestamp,frame_path
video_01_t00000.000,video_01,0.0,data/frames/video_01/video_01_t00000.000.jpg
video_01_t00002.000,video_01,2.0,data/frames/video_01/video_01_t00002.000.jpg
video_01_t00004.000,video_01,4.0,data/frames/video_01/video_01_t00004.000.jpg
video_01_t00006.000,video_01,6.0,data/frames/video_01/video_01_t00006.000.jpg
video_01_t00008.000,video_01,8.0,data/frames/video_01/video_01_t00008.000.jpg
video_01_t00010.000,video_01,10.0,data/frames/video_01/video_01_t00010.000.jpg
video_01_t00012.000,video_01,12.0,data/frames/video_01/video_01_t00012.000.jpg
video_01_t00014.000,video_01,14.0,data/frames/video_01/video_01_t00014.000.jpg
video_01_t00016.000,video_01,16.0,data/frames/video_01/video_01_t00016.000.jpg
video_01_t00018.000,video_01,18.0,data/frames/video_01/video_01_t00018.000.jpg
video_01_t00020.000,video_01,20.0,data/frames/video_01/video_01_t00020.000.jpg
video_01_t00022.000,video_01,22.0,data/frames/video_01/video_01_t00022.000.jpg
video_01_t00024.000,video_01,24.0,data/frames/video_01/video_01_t00024.000.jpg
video_01_t00026.000,video_01,26.0,data/frames/video_01/video_01_t00026.000.jpg
video_01_t00028.000,video_01,28.0,data/frames/video_01/video_01_t00028.000.jpg
video_01_t00030.000,video_01,30.0,data/frames/video_01/video_01_t00030.000.jpg
video_01_t00032.000,video_01,32.0,data/frames/video_01/video_01_t00032.000.jpg
video_01_t00034.000,video_01,34.0,data/frames/video_01/video_01_t00034.000.jpg
video_01_t00036.000,video_01,36.0,data/frames/video_01/video_01_t00036.000.jpg
video_01_t00038.000,video_01,38.0,data/frames/video_01/video_01_t00038.000.jpg
video_01_t00040.000,video_01,40.0,data/frames/video_01/video_01_t00040.000.jpg
video_01_t00042.000,video_01,42.0,data/frames/video_01/video_01_t00042.000.jpg
video_01_t00044.000,video_01,44.0,data/frames/video_01/video_01_t00044.000.jpg
video_01_t00046.000,video_01,46.0,data/frames/video_01/video_01_t00046.000.jpg
video_01_t00048.000,video_01,48.0,data/frames/video_01/video_01_t00048.000.jpg
video_01_t00050.000,video_01,50.0,data/frames/video_01/video_01_t00050.000.jpg
video_01_t00052.000,video_01,52.0,data/frames/video_01/video_01_t00052.000.jpg
video_01_t00054.000,video_01,54.0,data/frames/video_01/video_01_t00054.000.jpg
video_01_t00056.000,video_01,56.0,data/frames/video_01/video_01_t00056.000.jpg
video_01_t00058.000,video_01,58.0,data/frames/video_01/video_01_t00058.000.jpg
video_01_t00060.000,video_01,60.0,data/frames/video_01/video_01_t00060.000.jpg
video_01_t00062.000,video_01,62.0,data/frames/video_01/video_01_t00062.000.jpg
video_01_t00064.000,video_01,64.0,data/frames/video_01/video_01_t00064.000.jpg
video_01_t00066.000,video_01,66.0,data/frames/video_01/video_01_t00066.000.jpg
video_01_t00068.000,video_01,68.0,data/frames/video_01/video_01_t00068.000.jpg
video_01_t00070.000,video_01,70.0,data/frames/video_01/video_01_t00070.000.jpg
video_01_t00072.000,video_01,72.0,data/frames/video_01/video_01_t00072.000.jpg
video_01_t00074.000,video_01,74.0,data/frames/video_01/video_01_t00074.000.jpg
video_01_t00076.000,video_01,76.0,data/frames/video_01/video_01_t00076.000.jpg
video_01_t00078.000,video_01,78.0,data/frames/video_01/video_01_t00078.000.jpg
video_01_t00080.000,video_01,80.0,data/frames/video_01/video_01_t00080.000.jpg
video_01_t00082.000,video_01,82.0,data/frames/video_01/video_01_t00082.000.jpg
video_01_t00084.000,video_01,84.0,data/frames/video_01/video_01_t00084.000.jpg
video_01_t00086.000,video_01,86.0,data/frames/video_01/video_01_t00086.000.jpg
video_01_t00088.000,video_01,88.0,data/frames/video_01/video_01_t00088.000.jpg
video_01_t00090.000,video_01,90.0,data/frames/video_01/video_01_t00090.000.jpg
